id_0,iso,name_0,id_1,name_1,id_2,name_2,id_3,name_3,type_3,engtype_3,nl_name_3,varname_3
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"113",Xuân An,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"114",Xuân Bình,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"115",Xuân Hòa,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"116",Xuân Lập,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"117",Xuân Tân,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"118",Xuân Thánh,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"119",Xuân Trung,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"120",An Hoà,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"121",An Phước,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"122",Bàu Cạn,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"123",Bình An,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"124",Bình Sơn,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"125",Cẩm Đường,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"126",Lộc An,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"127",Long Đức,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"128",Long An,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"129",Long Hưng,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"130",Long Phước,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"131",Long Thành,Townlet,Townlet,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"132",Phước Bình,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"133",Phước Tân,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"134",Phước Thái,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"135",Suối Trầu,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"136",Tân Hiệp,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"137",Tam An,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"12",Long Thành,"138",Tam Phước,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"13",Nhơn Trạch,"139",Đại Phước,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"13",Nhơn Trạch,"140",Hiệp Phước,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"13",Nhơn Trạch,"141",Long Tân,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"13",Nhơn Trạch,"142",Long Thọ,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"13",Nhơn Trạch,"143",Phó Héi,Commune,Commune,,
